"question_id","audio_path","existing_media_duration_ms","detected_media_duration_ms","status","note"
"4001-016","2026-02-22/n2n-audio-001.mp3",,"19983","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\n2n-audio-001.mp3"
"4001-017","2026-02-22/n2n-audio-002.mp3",,"12403","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\n2n-audio-002.mp3"
"4001-018","2026-02-22/n2n-audio-003.mp3",,"15202","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\n2n-audio-003.mp3"
"4001-019","2026-02-22/n2n-audio-004.mp3",,"11995","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\n2n-audio-004.mp3"
"4001-020","2026-02-22/n2n-audio-005.mp3",,"15267","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\n2n-audio-005.mp3"
"4001-021","2026-02-22/n2n-audio-006.mp3",,"18004","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\n2n-audio-006.mp3"
"4002-016","2026-02-22/deh-audio-001.mp3",,"18886","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\deh-audio-001.mp3"
"4002-017","2026-02-22/deh-audio-002.mp3",,"9589","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\deh-audio-002.mp3"
"4002-018","2026-02-22/deh-audio-003.mp3",,"5526","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\deh-audio-003.mp3"
"4002-019","2026-02-22/deh-audio-004.mp3",,"9359","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\deh-audio-004.mp3"
"4002-020","2026-02-22/deh-audio-005.mp3",,"14154","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\deh-audio-005.mp3"
"4002-021","2026-02-22/deh-audio-006.mp3",,"17034","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\deh-audio-006.mp3"
"4003-016","2026-02-22/ts-audio-001.mp3",,"15024","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\ts-audio-001.mp3"
"4003-017","2026-02-22/ts-audio-002.mp3",,"14019","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\ts-audio-002.mp3"
"4003-018","2026-02-22/ts-audio-003.mp3",,"14194","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\ts-audio-003.mp3"
"4003-019","2026-02-22/ts-audio-004.mp3",,"14102","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\ts-audio-004.mp3"
"4003-020","2026-02-22/ts-audio-005.mp3",,"13915","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\ts-audio-005.mp3"
"4003-021","2026-02-22/ts-audio-006.mp3",,"12851","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\ts-audio-006.mp3"
"4004-016","2026-02-22/bb-audio-001.mp3",,"16008","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\bb-audio-001.mp3"
"4004-017","2026-02-22/bb-audio-002.mp3",,"18266","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\bb-audio-002.mp3"
"4004-018","2026-02-22/bb-audio-003.mp3",,"16468","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\bb-audio-003.mp3"
"4004-019","2026-02-22/bb-audio-004.mp3",,"17441","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\bb-audio-004.mp3"
"4004-020","2026-02-22/bb-audio-005.mp3",,"17806","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\bb-audio-005.mp3"
"4004-021","2026-02-22/bb-audio-006.mp3",,"14755","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-22\bb-audio-006.mp3"
"audio1-001","karaoke",,,"invalid_audio_path","audio_path does not look like a file path"
"disney-260215-181","2026-02-24/disney-audio-001.mp3",,"11478","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-001.mp3"
"disney-260215-182","2026-02-24/disney-audio-002.mp3",,"10207","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-002.mp3"
"disney-260215-183","2026-02-24/disney-audio-003.mp3",,"13085","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-003.mp3"
"disney-260215-184","2026-02-24/disney-audio-004.mp3",,"16991","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-004.mp3"
"disney-260215-185","2026-02-24/disney-audio-005.mp3",,"16947","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-005.mp3"
"disney-260215-186","2026-02-24/disney-audio-006.mp3",,"11775","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-006.mp3"
"disney-260215-187","2026-02-24/disney-audio-007.mp3",,"16252","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-007.mp3"
"disney-260215-188","2026-02-24/disney-audio-008.mp3",,"14219","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-008.mp3"
"disney-260215-189","2026-02-24/disney-audio-009.mp3",,"9639","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-009.mp3"
"disney-260215-190","2026-02-24/disney-audio-010.mp3",,"17503","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-010.mp3"
"disney-260215-221","2026-02-24/disney-audio-011.mp3",,"12409","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-011.mp3"
"disney-260215-222","2026-02-24/disney-audio-012.mp3",,"18055","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-012.mp3"
"disney-260215-223","2026-02-24/disney-audio-013.mp3",,"15813","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-013.mp3"
"disney-260215-224","2026-02-24/disney-audio-014.mp3",,"13254","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-014.mp3"
"disney-260215-225","2026-02-24/disney-audio-015.mp3",,"16571","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-015.mp3"
"disney-260215-226","2026-02-24/disney-audio-016.mp3",,"11494","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-016.mp3"
"disney-260215-227","2026-02-24/disney-audio-017.mp3",,"14241","dry_run","C:\Users\mark\musical-theatre-quiz\lib\audio\2026-02-24\disney-audio-017.mp3"
