pack_id,pack_name,pack_round_type,pack_sort_order,question_id,question_round_type,answer_type,question_text,option_a,option_b,option_c,option_d,answer_index,answer_text,accepted_answers,explanation,audio_path,image_path
disney-260215,Disney Musicals,general,9999,disney-260215-001,general,mcq,"After Howard Ashman died during production, which lyricist completed the remaining songs' lyrics for Aladdin (1992)?",Stephen Schwartz,Tim Rice,David Zippel,Jack Feldman,1,Tim Rice,"[""Tim Rice"", ""Rice""]","After Ashman’s death, Tim Rice joined Alan Menken to finish the lyric work for the film.",,
disney-260215,Disney Musicals,general,9999,disney-260215-002,general,mcq,"Which Disney stage musical restored the cut song ""Proud of Your Boy""?",Frozen,Aladdin,Beauty and the Beast,Newsies,1,Aladdin,"[""Aladdin""]","""Proud of Your Boy"" appears in the stage musical Aladdin.",,
disney-260215,Disney Musicals,general,9999,disney-260215-003,general,mcq,Disney's stage musical Aida has music by which composer?,Alan Menken,Elton John,Stephen Schwartz,Randy Newman,1,Elton John,"[""Elton John"", ""John""]",Elton John wrote the music for Aida (with lyrics by Tim Rice).,,
disney-260215,Disney Musicals,general,9999,disney-260215-004,general,mcq,The songs in the 1964 film Mary Poppins were written by which songwriting duo?,The Sherman Brothers,The Gershwins,Rodgers and Hammerstein,Lerner and Loewe,0,The Sherman Brothers,"[""The Sherman Brothers""]",Richard and Robert Sherman wrote the film’s songs.,,
disney-260215,Disney Musicals,general,9999,disney-260215-005,general,mcq,Which artist wrote both music and lyrics for the stage musical Tarzan?,Phil Collins,Elton John,Alan Menken,Randy Newman,0,Phil Collins,"[""Phil Collins"", ""Collins""]",Phil Collins wrote the music and lyrics for Tarzan (musical).,,
disney-260215,Disney Musicals,general,9999,disney-260215-006,general,mcq,Who wrote the songs for the 1994 film The Lion King (with lyrics by Tim Rice)?,Hans Zimmer,Elton John,Phil Collins,Alan Menken,1,Elton John,"[""Elton John"", ""John""]","Elton John composed the film’s songs, with lyrics by Tim Rice.",,
disney-260215,Disney Musicals,general,9999,disney-260215-007,general,mcq,Which song is from The Princess and the Frog?,Almost There,Let It Go,Part of Your World,Colours of the Wind,0,Almost There,"[""Almost There""]","""Almost There"" is a key song from The Princess and the Frog.",,
disney-260215,Disney Musicals,general,9999,disney-260215-008,general,mcq,"Who wrote the lyrics for the songs in Disney's Hercules (1997), with music by Alan Menken?",Tim Rice,David Zippel,Howard Ashman,Lin-Manuel Miranda,1,David Zippel,"[""David Zippel"", ""Zippel""]",The lyrics for Hercules were written by David Zippel.,,
disney-260215,Disney Musicals,general,9999,disney-260215-009,general,mcq,"Which Disney Channel Original Movie introduced the song ""Breaking Free""?",Camp Rock,High School Musical,Descendants,Teen Beach Movie,1,High School Musical,"[""High School Musical""]","""Breaking Free"" comes from High School Musical.",,
disney-260215,Disney Musicals,general,9999,disney-260215-010,general,mcq,Who wrote the songs for Frozen (2013)?,Kristen Anderson-Lopez and Robert Lopez,Alan Menken and Howard Ashman,Elton John and Tim Rice,Randy Newman and Stephen Schwartz,0,Kristen Anderson-Lopez and Robert Lopez,"[""Kristen Anderson-Lopez and Robert Lopez"", ""Kristen Anderson-Lopez"", ""Robert Lopez"", ""The Lopezes""]",Kristen Anderson-Lopez and Robert Lopez wrote the songs for Frozen.,,
disney-260215,Disney Musicals,general,9999,disney-260215-011,general,mcq,"Which film features the song ""Colours of the Wind""?",Mulan,Pocahontas,The Little Mermaid,Tangled,1,Pocahontas,"[""Pocahontas""]","""Colours of the Wind"" is from Pocahontas.",,
disney-260215,Disney Musicals,general,9999,disney-260215-012,general,mcq,Who composed the score for the 1994 film The Lion King?,Alan Menken,Hans Zimmer,John Williams,Mark Mancina,1,Hans Zimmer,"[""Hans Zimmer"", ""Zimmer""]",Hans Zimmer composed the film score for The Lion King.,,
disney-260215,Disney Musicals,general,9999,disney-260215-013,general,mcq,"Which stage musical is based on Disney's 1996 film and has music by Alan Menken with lyrics by Stephen Schwartz?",The Hunchback of Notre Dame,Tarzan,Aida,Newsies,0,The Hunchback of Notre Dame,"[""The Hunchback of Notre Dame"", ""Hunchback of Notre Dame""]",The Disney stage musical The Hunchback of Notre Dame credits Menken and Schwartz.,,
