pack_id,pack_name,pack_round_type,pack_sort_order,question_id,question_round_type,answer_type,question_text,option_a,option_b,option_c,option_d,answer_index,answer_text,accepted_answers,explanation,audio_path,image_path
disney-260215,"Disney Musicals","general",9999,disney-260215-051,general,mcq,"In Beauty and the Beast (1991), which character sings the opening song Belle?","Gaston","Maurice","Belle","The Narrator",2,,,"""Belle"" is led by Belle, with the town joining in.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-052,general,mcq,"In The Little Mermaid (1989), what is Ariel’s father’s name?","Triton","Poseidon","Neptune","Ariel doesn’t have a father",0,,,"Ariel’s father is King Triton.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-053,general,mcq,"Which Disney film features the song Under the Sea?","Moana","The Little Mermaid","The Princess and the Frog","Finding Nemo",1,,,"""Under the Sea"" appears in The Little Mermaid.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-054,general,mcq,"In Aladdin (1992), what is the name of Aladdin’s monkey?","Abu","Rajah","Iago","Pascal",0,,,"Aladdin’s monkey companion is Abu.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-055,general,mcq,"In The Lion King (1994), who voices Scar?","Jeremy Irons","Rowan Atkinson","James Earl Jones","Nathan Lane",0,,,"Scar is voiced by Jeremy Irons in the 1994 film.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-056,general,mcq,"Which Disney stage musical is set in the African savannah and features elaborate animal puppetry?","Newsies","The Lion King","Aida","Frozen",1,,,"The Lion King stage musical is known for its puppetry and masks.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-057,general,mcq,"In Frozen (2013), what is Anna’s sister called?","Elsa","Iduna","Kristoff","Sven",0,,,"Anna’s sister is Elsa.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-058,general,mcq,"Which film features the song I See the Light?","Tangled","Encanto","Cinderella (1950)","Brave",0,,,"""I See the Light"" is from Tangled.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-059,general,mcq,"In The Princess and the Frog (2009), what is Tiana’s dream?","To run her own restaurant","To become a singer","To be a princess at court","To travel the world",0,,,"Tiana’s goal is to open her own restaurant.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-060,general,mcq,"Which Disney film features the song Friends on the Other Side?","Hercules","The Princess and the Frog","Coco","The Hunchback of Notre Dame",1,,,"Dr Facilier sings ""Friends on the Other Side"".",,
disney-260215,"Disney Musicals","general",9999,disney-260215-061,general,mcq,"In Hercules (1997), who sings the hero ballad Go the Distance?","Hercules","Megara","Phil","The Muses",0,,,"Hercules sings ""Go the Distance"".",,
disney-260215,"Disney Musicals","general",9999,disney-260215-062,general,mcq,"In Mulan (1998), what name does Mulan use while disguised in the army?","Ping","Shang","Li","Mei",0,,,"Mulan uses the name Ping.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-063,general,mcq,"Which Disney film features the villain song Hellfire?","The Hunchback of Notre Dame","Sleeping Beauty","Beauty and the Beast","Tangled",0,,,"""Hellfire"" is sung by Frollo in The Hunchback of Notre Dame.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-064,general,mcq,"In The Hunchback of Notre Dame (Disney), what is the name of the bell-ringer?","Quasimodo","Phoebus","Clopin","Frollo",0,,,"The bell-ringer is Quasimodo.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-065,general,mcq,"Which stage musical features the songs King of New York and Seize the Day?","Newsies","Tarzan","Aladdin","Mary Poppins",0,,,"Both songs are from Newsies.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-066,general,mcq,"In Newsies, what is the name of the female reporter who becomes close to Jack?","Katherine Plumber","Sarah Jacobs","Ellen Morgan","Mary Flynn",0,,,"Katherine Plumber is the reporter in Newsies.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-067,general,mcq,"Which Disney stage musical has a show-stopping production number called Friend Like Me?","The Lion King","Aladdin","Frozen","Beauty and the Beast",1,,,"""Friend Like Me"" is a key number in Aladdin.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-068,general,mcq,"In Aladdin (stage), which song was restored from an early concept as a solo for Aladdin?","Proud of Your Boy","One Jump Ahead","Arabian Nights","A Whole New World",0,,,"The stage musical includes ""Proud of Your Boy"".",,
disney-260215,"Disney Musicals","general",9999,disney-260215-069,general,mcq,"In Beauty and the Beast (stage), which character sings Gaston with Gaston?","Lumière","LeFou","Maurice","Cogsworth",1,,,"LeFou joins Gaston in ""Gaston"".",,
disney-260215,"Disney Musicals","general",9999,disney-260215-070,general,mcq,"In The Lion King (stage), which character sings He Lives in You?","Rafiki","Nala","Simba","Zazu",0,,,"Rafiki leads ""He Lives in You"".",,
disney-260215,"Disney Musicals","general",9999,disney-260215-071,general,mcq,"Which Disney film features the song Reflection?","Mulan","Pocahontas","Moana","Encanto",0,,,"""Reflection"" is from Mulan.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-072,general,mcq,"Which Disney film features the song Surface Pressure?","Encanto","Frozen","Coco","Tangled",0,,,"""Surface Pressure"" is from Encanto.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-073,general,mcq,"In Encanto, what is the family surname?","Madrigal","Mirabel","Montoya","Marquez",0,,,"The family surname is Madrigal.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-074,general,mcq,"In Coco (2017), what is the name of the Land of the Dead musician Miguel idolises?","Ernesto de la Cruz","Héctor Rivera","Jorge Castillo","Carlos Santana",0,,,"Miguel idolises Ernesto de la Cruz.",,
disney-260215,"Disney Musicals","general",9999,disney-260215-075,general,mcq,"Which Disney film features the song Remember Me?","Coco","Moana","Soul","Up",0,,,"""Remember Me"" is from Coco.",,
