item_id,answer_text,item_type,person_roles,difficulty,primary_show_key,notes,is_active,pack_names
,Stephen Sondheim,person,composer|lyricist,easy,,,true,People of Musical Theatre
,Andrew Lloyd Webber,person,composer,easy,,,true,People of Musical Theatre
,Tim Rice,person,lyricist,easy,,,true,People of Musical Theatre
,Lin-Manuel Miranda,person,composer|lyricist|book_writer|performer,easy,,,true,People of Musical Theatre
,Patti LuPone,person,performer,easy,,,true,People of Musical Theatre
,Bernadette Peters,person,performer,easy,,,true,People of Musical Theatre
,Idina Menzel,person,performer,easy,,,true,People of Musical Theatre
,Kristin Chenoweth,person,performer,easy,,,true,People of Musical Theatre
,Lea Salonga,person,performer,easy,,,true,People of Musical Theatre
,Audra McDonald,person,performer,easy,,,true,People of Musical Theatre
,Sutton Foster,person,performer,easy,,,true,People of Musical Theatre
,Jonathan Groff,person,performer,easy,,,true,People of Musical Theatre
,Aaron Tveit,person,performer,easy,,,true,People of Musical Theatre
,Jeremy Jordan,person,performer,easy,,,true,People of Musical Theatre
,Ramin Karimloo,person,performer,easy,,,true,People of Musical Theatre
,Sierra Boggess,person,performer,easy,,,true,People of Musical Theatre
,Elaine Paige,person,performer,easy,,,true,People of Musical Theatre
,Michael Ball,person,performer,easy,,,true,People of Musical Theatre
,Imelda Staunton,person,performer,easy,,,true,People of Musical Theatre
,Alfie Boe,person,performer,easy,,,true,People of Musical Theatre
,Eva Noblezada,person,performer,easy,,,true,People of Musical Theatre
,Ben Platt,person,performer,easy,,,true,People of Musical Theatre
,Cynthia Erivo,person,performer,easy,,,true,People of Musical Theatre
,Jonathan Bailey,person,performer,easy,,,true,People of Musical Theatre
,Rachel Zegler,person,performer,easy,,,true,People of Musical Theatre
,Megan Hilty,person,performer,medium,,,true,People of Musical Theatre
,Raúl Esparza,person,performer,medium,,,true,People of Musical Theatre
,Samantha Barks,person,performer,medium,,,true,People of Musical Theatre
,Mandy Patinkin,person,performer,medium,,,true,People of Musical Theatre
,Maria Friedman,person,performer,easy,,,true,People of Musical Theatre
,Kerry Ellis,person,performer,easy,,,true,People of Musical Theatre
,Sheridan Smith,person,performer,easy,,,true,People of Musical Theatre
,Carrie Hope Fletcher,person,performer,easy,,,true,People of Musical Theatre
,Lucie Jones,person,performer,easy,,,true,People of Musical Theatre
,John Owen-Jones,person,performer,medium,,,true,People of Musical Theatre
,Ruthie Henshall,person,performer,medium,,,true,People of Musical Theatre
,Bonnie Langford,person,performer,medium,,,true,People of Musical Theatre
,Julie Andrews,person,performer,easy,,,true,People of Musical Theatre
,Angela Lansbury,person,performer,easy,,,true,People of Musical Theatre
,Barbra Streisand,person,performer,easy,,,true,People of Musical Theatre
,Michael Crawford,person,performer,easy,,,true,People of Musical Theatre
,Hannah Waddingham,person,performer,easy,,,true,People of Musical Theatre
,Petula Clark,person,performer,medium,,,true,People of Musical Theatre
,Diana Rigg,person,performer,medium,,,true,People of Musical Theatre
,Ethel Merman,person,performer,easy,,,true,People of Musical Theatre
,Liza Minnelli,person,performer,easy,,,true,People of Musical Theatre
,Judy Garland,person,performer,easy,,,true,People of Musical Theatre
,Jason Donovan,person,performer,medium,,,true,People of Musical Theatre
,Matt Lucas,person,performer,medium,,,true,People of Musical Theatre
,Nicole Scherzinger,person,performer,medium,,,true,People of Musical Theatre
,Caissie Levy,person,performer,medium,,,true,People of Musical Theatre
,Vanessa Williams,person,performer,medium,,,true,People of Musical Theatre
,Tracie Bennett,person,performer,medium,,,true,People of Musical Theatre
,Judi Dench,person,performer,easy,,,true,People of Musical Theatre
,Jonathan Pryce,person,performer,easy,,,true,People of Musical Theatre
,Sara Bareilles,person,composer|lyricist|performer,easy,,,true,People of Musical Theatre
,Jason Robert Brown,person,composer|lyricist,easy,,,true,People of Musical Theatre
,Alan Menken,person,composer,easy,,,true,People of Musical Theatre
,Richard Rodgers,person,composer,easy,,,true,People of Musical Theatre
,Oscar Hammerstein II,person,lyricist|book_writer,easy,,,true,People of Musical Theatre
,Stephen Schwartz,person,composer|lyricist,easy,,,true,People of Musical Theatre
,Jonathan Larson,person,composer|lyricist,easy,,,true,People of Musical Theatre
,Leonard Bernstein,person,composer,easy,,,true,People of Musical Theatre
,Bob Fosse,person,director|choreographer,easy,,,true,People of Musical Theatre
,Trevor Nunn,person,director,medium,,,true,People of Musical Theatre
,Matthew Bourne,person,director|choreographer,medium,,,true,People of Musical Theatre
,Tim Minchin,person,composer|lyricist|performer,easy,,,true,People of Musical Theatre
,Cameron Mackintosh,person,other,easy,,,true,People of Musical Theatre
,Cyndi Lauper,person,composer|lyricist,medium,,,true,People of Musical Theatre
,John Kander,person,composer,medium,,,true,People of Musical Theatre
,Fred Ebb,person,lyricist,medium,,,true,People of Musical Theatre
,Claude-Michel Schönberg,person,composer,medium,,,true,People of Musical Theatre
,Alain Boublil,person,lyricist|book_writer,medium,,,true,People of Musical Theatre
,Lionel Bart,person,composer|lyricist|book_writer,medium,,,true,People of Musical Theatre
,Elton John,person,composer,medium,,,true,People of Musical Theatre
