pack_id,pack_name,pack_round_type,pack_sort_order,question_id,question_round_type,answer_type,question_text,option_a,option_b,option_c,option_d,answer_index,answer_text,accepted_answers,explanation,audio_path,image_path
4001,"Next to Normal","mixed",4001,4001-001,"general","mcq","In Next to Normal, the music is by Tom Kitt and the book and lyrics are by which writer?","Brian Yorkey","Steven Levenson","Jonathan Larson","David Henry Hwang",0,,,,"Brian Yorkey wrote the book and lyrics, with music by Tom Kitt.",,
4001,"Next to Normal","mixed",4001,4001-002,"general","text","In Next to Normal, what is the first name of the mother at the centre of the story?",,,,,,,"Diana","[""Diana Goodman"", ""Diana""]","Diana Goodman is the mother whose mental health and grief shape the family’s story.",,
4001,"Next to Normal","mixed",4001,4001-003,"general","mcq","In Next to Normal, which character sings I’m Alive?","Gabe","Henry","Dan","Dr Fine",0,,,,"I’m Alive is led by Gabe.",,
4001,"Next to Normal","mixed",4001,4001-004,"general","mcq","In Next to Normal, which song is best known for the lyric opening about missing ‘the mountains’?","I Miss the Mountains","You Don’t Know","I’m Alive","Perfect for You",0,,,,"Diana sings I Miss the Mountains as she remembers feeling emotionally alive.",,
4001,"Next to Normal","mixed",4001,4001-005,"general","mcq","In the London production of Next to Normal, who played Diana?","Caissie Levy","Alice Ripley","Sherie Rene Scott","Rachel Bay Jones",0,,,,"In the London transfer, Caissie Levy played Diana.",,
4001,"Next to Normal","mixed",4001,4001-006,"general","mcq","Who played Dan in the London cast of Next to Normal?","Jamie Parker","J. Robert Spencer","Ben Platt","Ramin Karimloo",0,,,,"Jamie Parker played Dan in the London production.",,
4001,"Next to Normal","mixed",4001,4001-007,"general","mcq","In Next to Normal at the Wyndham’s Theatre in London, which actor played Gabe?","Jack Wolfe","Jack Ofrecio","Trevor Dion Nicholas","Michael Ball",0,,,,"Jack Wolfe played Gabe in the London production.",,
4001,"Next to Normal","mixed",4001,4001-008,"general","mcq","Which role did Trevor Dion Nicholas play in the London cast of Next to Normal?","Dr Madden and Dr Fine","Gabe","Dan","Henry",0,,,,"Trevor Dion Nicholas played the psychiatrist Dr Madden and the doctor Dr Fine in London.",,
4001,"Next to Normal","mixed",4001,4001-009,"general","text","Next to Normal won the Pulitzer Prize for Drama in which year?",,,,,,,"2010","[""2010""]","Next to Normal won the 2010 Pulitzer Prize for Drama.",,
4001,"Next to Normal","mixed",4001,4001-010,"general","mcq","In Next to Normal, which character is Natalie’s boyfriend?","Henry","Gabe","Dan","Dr Fine",0,,,,"Henry is Natalie’s boyfriend.",,
4001,"Next to Normal","mixed",4001,4001-011,"general","mcq","In Next to Normal, Natalie describes her place in the family in which song?","Superboy and the Invisible Girl","Everything Else","Who’s Crazy","It’s Gonna Be Good",0,,,,"Natalie leads Superboy and the Invisible Girl.",,
4001,"Next to Normal","mixed",4001,4001-012,"general","text","In Next to Normal, what is the family surname?",,,,,,,"Goodman","[""Goodman""]","The central family are the Goodmans.",,
4001,"Next to Normal","mixed",4001,4001-013,"general","mcq","In Next to Normal, which number is the darkly upbeat song about diagnosis and medication with the psychiatrist?","Who’s Crazy / My Psychopharmacologist and I","You Don’t Know","I Am the One","Hey #1",0,,,,"Who’s Crazy / My Psychopharmacologist and I focuses on diagnosis and medication.",,
4001,"Next to Normal","mixed",4001,4001-014,"general","mcq","In Next to Normal, which character is Natalie’s brother?","Gabe","Henry","Dr Madden","Dan",0,,,,"Gabe is Natalie’s brother, though the story complicates how he is present.",,
4001,"Next to Normal","mixed",4001,4001-015,"general","text","In Next to Normal, name the psychiatrist Diana sees in Act 1 (the one who prescribes medication).",,,,,,,"Dr Madden","[""Dr Madden"", ""Doctor Madden"", ""Madden""]","Diana’s psychiatrist in Act 1 is Dr Madden (played alongside Dr Fine in the London production).",,
4001,"Next to Normal","mixed",4001,4001-016,"audio","mcq","Audio: Identify the song from this clip.","I Miss the Mountains","I’m Alive","You Don’t Know","Light",0,,,,"Use a recognisable section from I Miss the Mountains.",2026-02-22/n2n-audio-001.mp3,
4001,"Next to Normal","mixed",4001,4001-017,"audio","mcq","Audio: Which song is playing in this clip","I’m Alive","Perfect for You","Everything Else","So Anyway",0,,,,"Use a recognisable section of Gabe’s I’m Alive.",2026-02-22/n2n-audio-002.mp3,
4001,"Next to Normal","mixed",4001,4001-018,"audio","mcq","Audio: Identify the song from this clip","You Don’t Know","I Am the One","He’s Not Here","Just Another Day",0,,,,"Use a clear excerpt from You Don’t Know.",2026-02-22/n2n-audio-003.mp3,
4001,"Next to Normal","mixed",4001,4001-019,"audio","mcq","Audio: Which song is this clip from?","I Am the One","Make Up Your Mind","Light","It’s Gonna Be Good",0,,,,"Use a recognisable section from I Am the One.",2026-02-22/n2n-audio-004.mp3,
4001,"Next to Normal","mixed",4001,4001-020,"audio","mcq","Audio: Identify this song.","Everything Else","Perfect for You","Superboy and the Invisible Girl","I Miss the Mountains",0,,,,"Use a recognisable section from Everything Else.",2026-02-22/n2n-audio-005.mp3,
4001,"Next to Normal","mixed",4001,4001-021,"audio","mcq","Audio: Which song is playing in this clip?","Just Another Day","Prelude","Who’s Crazy / My Psychopharmacologist and I","Hey #1",0,,,,"Use a recognisable excerpt from Just Another Day.",2026-02-22/n2n-audio-006.mp3,
4001,"Next to Normal","mixed",4001,4001-022,"picture","mcq","Picture: This is a London production photo. Which character is pictured centre stage?","Diana","Natalie","Gabe","Dr Madden",0,,,,"Use a clear London production photo where the character is recognisable.",,2026-02-22/n2n-image-001.jpg
4001,"Next to Normal","mixed",4001,4001-023,"picture","mcq","Picture: This is a London cast headshot. Which actor is shown?","Jamie Parker","Jack Wolfe","Jack Ofrecio","Trevor Dion Nicholas",0,,,,"Use a headshot of Jamie Parker from London Next to Normal publicity.",,2026-02-22/n2n-image-002.jpg
4001,"Next to Normal","mixed",4001,4001-024,"picture","mcq","Picture: Which show does this poster belong to?","Next to Normal","Spring Awakening","A Strange Loop","Heathers",0,,,,"Use the official London artwork for Next to Normal.",,2026-02-22/n2n-image-003.jpg
4001,"Next to Normal","mixed",4001,4001-025,"picture","text","Picture: This is a photo of the London actor playing Gabe. What is the actor’s name?",,,,,,,"Jack Wolfe","[""Jack Wolfe""]","Jack Wolfe played Gabe in the London production.",,2026-02-22/n2n-image-004.jpg
