pack_id,pack_name,pack_round_type,question_id,question_round_type,answer_type,question_text,option_a,option_b,option_c,option_d,answer_index,answer_text,accepted_answers,explanation,audio_path,image_path,media_type,prompt_target,clue_source,primary_show_key,media_duration_ms,audio_clip_type
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0001,general,mcq,"Which song title matches this lyric excerpt:

The rumble of the subway train,
The rattle of the taxis.
The daffy-dills who entertain
At Angelo's and Maxie's.",42nd Street,We're in the Money,Broadway Baby,Lullaby of Broadway,3,Lullaby of Broadway,,"""Lullaby of Broadway"" is from 42nd Street.",,,text,song_title,lyric_excerpt,42nd_street,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0002,general,mcq,"Which musical theatre song contains these lyrics:

Let's spend it, lend it,
Send it rolling around!",42nd Street,Lullaby of Broadway,We're in the Money,Broadway Baby,2,We're in the Money,,"""We're in the Money"" is from 42nd Street.",,,text,song_title,lyric_excerpt,42nd_street,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0003,general,mcq,"Which song are these lyrics from:

They just use your mind
And they never give you credit",Shine Like the Sun,Get Out and Stay Out,Change It,9 to 5,3,9 to 5,,"""9 to 5"" is from 9 to 5.",,,text,song_title,lyric_excerpt,9_to_5,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0004,general,mcq,"Name the song title from this lyric excerpt:

Now, I've always been misunderstood because of how I look.
Don't judge me by the cover, cause I'm a real good book",9 to 5,Shine Like the Sun,Get Out and Stay Out,Backwoods Barbie,3,Backwoods Barbie,,"""Backwoods Barbie"" is from 9 to 5.",,,text,song_title,lyric_excerpt,9_to_5,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0005,general,mcq,"Which song title matches this lyric excerpt:

Life with my dad wasn't ever a picnic
More like a ""Come as you are.""",Nothing,What I Did for Love,"Dance Ten, Looks Three",At the Ballet,3,At the Ballet,,"""At the Ballet"" is from A Chorus Line.",,,text,song_title,lyric_excerpt,a_chorus_line,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0006,general,mcq,"Which musical theatre song contains these lyrics:

Didn't cost a fortune neither.
Didn't hurt my sex life either.",What I Did for Love,Nothing,At the Ballet,"Dance Ten, Looks Three",3,"Dance Ten, Looks Three",,"""Dance Ten, Looks Three"" is from A Chorus Line.",,,text,song_title,lyric_excerpt,a_chorus_line,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0007,general,mcq,"Which song are these lyrics from:

And I dug right down to the bottom of my soul
To see what I had inside.",At the Ballet,Nothing,One,"Dance Ten, Looks Three",1,Nothing,,"""Nothing"" is from A Chorus Line.",,,text,song_title,lyric_excerpt,a_chorus_line,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0008,general,mcq,"Name the song title from this lyric excerpt:

Ooh! Sigh! Give her your attention.
Do I really have to mention",At the Ballet,One,"Dance Ten, Looks Three",Nothing,1,One,,"""One"" is from A Chorus Line.",,,text,song_title,lyric_excerpt,a_chorus_line,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0009,general,mcq,"Which song title matches this lyric excerpt:

Kiss today goodbye,
The sweetness and the sorrow.",Nothing,"Dance Ten, Looks Three",At the Ballet,What I Did for Love,3,What I Did for Love,,"""What I Did for Love"" is from A Chorus Line.",,,text,song_title,lyric_excerpt,a_chorus_line,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0010,general,mcq,"Which musical theatre song contains these lyrics:

Nothing with kings, nothing with crowns;
Bring on the lovers, liars and clowns!",Lovely,Comedy Tonight,Everybody Ought To Have A Maid,Pretty Little Picture,1,Comedy Tonight,,"""Comedy Tonight"" is from A Funny Thing Happened on the Way to the Forum.",,,text,song_title,lyric_excerpt,a_funny_thing_happened_on_the_way_to_the_forum,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0011,general,mcq,"Which song are these lyrics from:

Fluttering up the stairway,
Shuttering up the windows,
Cluttering up the bedroom,
Buttering up the master...",Everybody Ought To Have A Maid,Comedy Tonight,Bring Me My Bride,Lovely,0,Everybody Ought To Have A Maid,,"""Everybody Ought To Have A Maid"" is from A Funny Thing Happened on the Way to the Forum.",,,text,song_title,lyric_excerpt,a_funny_thing_happened_on_the_way_to_the_forum,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0012,general,mcq,"Name the song title from this lyric excerpt:

And the shooting should be pleasant
If the weather's not too rough.
Happy birthday, it's your present.
You haven't been getting out nearly enough.",A Weekend In The Country,You Must Meet My Wife,Send In The Clowns,The Miller's Son,0,A Weekend In The Country,,"""A Weekend In The Country"" is from A Little Night Music.",,,text,song_title,lyric_excerpt,a_little_night_music,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0013,general,mcq,"Which song title matches this lyric excerpt:

At the villa of the Baron De Signac,
Where I spent a somewhat infamous year,",The Miller's Son,Liaisons,Send In The Clowns,A Weekend In The Country,1,Liaisons,,"""Liaisons"" is from A Little Night Music.",,,text,song_title,lyric_excerpt,a_little_night_music,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0014,general,mcq,"Which musical theatre song contains these lyrics:

Let me get my hat and my knife!",The Miller's Son,A Weekend In The Country,Send In The Clowns,You Must Meet My Wife,3,You Must Meet My Wife,,"""You Must Meet My Wife"" is from A Little Night Music.",,,text,song_title,lyric_excerpt,a_little_night_music,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0015,general,mcq,"Which song are these lyrics from:

Just when I'd stopped opening doors,
Finally knowing the one that I wanted was yours,",A Weekend In The Country,You Must Meet My Wife,Send In The Clowns,The Miller's Son,2,Send In The Clowns,,"""Send In The Clowns"" is from A Little Night Music.",,,text,song_title,lyric_excerpt,a_little_night_music,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0016,general,mcq,"Name the song title from this lyric excerpt:

It's a very short road
From the pinch and the punch
To the paunch and the pouch
And the pension.",The Miller's Son,You Must Meet My Wife,A Weekend In The Country,Send In The Clowns,0,The Miller's Son,,"""The Miller's Son"" is from A Little Night Music.",,,text,song_title,lyric_excerpt,a_little_night_music,,
waxing_lyrical_mcq,Waxing Lyrical (MCQ),general,WaxingM-0017,general,mcq,"Which song title matches this lyric excerpt:

But when I'm way up here, it's crystal clear",Friend Like Me,Beauty and the Beast,A Whole New World,Part of Your World,2,A Whole New World,,"""A Whole New World"" is from Aladdin.",,,text,song_title,lyric_excerpt,aladdin,,
