"pack_id","pack_name","pack_round_type","pack_sort_order","question_id","question_round_type","answer_type","question_text","option_a","option_b","option_c","option_d","answer_index","answer_text","accepted_answers","explanation","audio_path","image_path","media_type","prompt_target","clue_source","primary_show_key","media_duration_ms","audio_clip_type"
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0001","general","text","Name the musical theatre song from these lyrics:

The rumble of the subway train,
The rattle of the taxis.
The daffy-dills who entertain
At Angelo's and Maxie's.","","","","","","Lullaby of Broadway","","""Lullaby of Broadway"" is from 42nd Street.","","","text","song_title","lyric_excerpt","42nd_street","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0002","general","text","Name the musical theatre song from these lyrics:

Let's spend it, lend it,
Send it rolling around!","","","","","","We're in the Money","Were in the Money","""We're in the Money"" is from 42nd Street.","","","text","song_title","lyric_excerpt","42nd_street","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0003","general","text","Name the musical theatre song from these lyrics:

They just use your mind
And they never give you credit","","","","","","9 to 5","","""9 to 5"" is from 9 to 5.","","","text","song_title","lyric_excerpt","9_to_5","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0004","general","text","Name the musical theatre song from these lyrics:

Now, I've always been misunderstood because of how I look.
Don't judge me by the cover, cause I'm a real good book","","","","","","Backwoods Barbie","","""Backwoods Barbie"" is from 9 to 5.","","","text","song_title","lyric_excerpt","9_to_5","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0005","general","text","Name the musical theatre song from these lyrics:

Life with my dad wasn't ever a picnic
More like a ""Come as you are.""","","","","","","At the Ballet","","""At the Ballet"" is from A Chorus Line.","","","text","song_title","lyric_excerpt","a_chorus_line","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0006","general","text","Name the musical theatre song from these lyrics:

Didn't cost a fortune neither.
Didn't hurt my sex life either.","","","","","","Dance Ten, Looks Three","Dance Ten Looks Three","""Dance Ten, Looks Three"" is from A Chorus Line.","","","text","song_title","lyric_excerpt","a_chorus_line","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0007","general","text","Name the musical theatre song from these lyrics:

And I dug right down to the bottom of my soul
To see what I had inside.","","","","","","Nothing","","""Nothing"" is from A Chorus Line.","","","text","song_title","lyric_excerpt","a_chorus_line","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0008","general","text","Name the musical theatre song from these lyrics:

Ooh! Sigh! Give her your attention.
Do I really have to mention","","","","","","One","","""One"" is from A Chorus Line.","","","text","song_title","lyric_excerpt","a_chorus_line","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0009","general","text","Name the musical theatre song from these lyrics:

Kiss today goodbye,
The sweetness and the sorrow.","","","","","","What I Did for Love","","""What I Did for Love"" is from A Chorus Line.","","","text","song_title","lyric_excerpt","a_chorus_line","",""
