pack_id,pack_name,pack_round_type,pack_sort_order,question_id,question_round_type,answer_type,question_text,option_a,option_b,option_c,option_d,answer_index,answer_text,accepted_answers,explanation,audio_path,image_path,media_type,prompt_target,clue_source,primary_show_key,media_duration_ms,audio_clip_type
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0001,general,text,"Name the song title from this lyric excerpt: ""The rumble of the subway train, / The rattle of the taxis. / The daffy-dills who entertain / At Angelo's and Maxie's.""",,,,,,Lullaby of Broadway,,"""Lullaby of Broadway"" is from 42nd Street.",,,text,song_title,lyric_excerpt,42nd_street,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0002,general,text,"Name the song title from this lyric excerpt: ""Let's spend it, lend it, / Send it rolling around!""",,,,,,We're in the Money,Were in the Money,"""We're in the Money"" is from 42nd Street.",,,text,song_title,lyric_excerpt,42nd_street,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0003,general,text,"Name the song title from this lyric excerpt: ""They just use your mind / And they never give you credit""",,,,,,9 to 5,,"""9 to 5"" is from 9 to 5.",,,text,song_title,lyric_excerpt,9_to_5,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0004,general,text,"Name the song title from this lyric excerpt: ""Now, I've always been misunderstood because of how I look. / Don't judge me by the cover, cause I'm a real good book""",,,,,,Backwoods Barbie,,"""Backwoods Barbie"" is from 9 to 5.",,,text,song_title,lyric_excerpt,9_to_5,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0005,general,text,"Name the song title from this lyric excerpt: ""Life with my dad wasn't ever a picnic / More like a ""Come as you are.""""",,,,,,At the Ballet,,"""At the Ballet"" is from A Chorus Line.",,,text,song_title,lyric_excerpt,a_chorus_line,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0006,general,text,"Name the song title from this lyric excerpt: ""Didn't cost a fortune neither. / Didn't hurt my sex life either.""",,,,,,"Dance Ten, Looks Three",Dance Ten Looks Three,"""Dance Ten, Looks Three"" is from A Chorus Line.",,,text,song_title,lyric_excerpt,a_chorus_line,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0007,general,text,"Name the song title from this lyric excerpt: ""And I dug right down to the bottom of my soul / To see what I had inside.""",,,,,,Nothing,,"""Nothing"" is from A Chorus Line.",,,text,song_title,lyric_excerpt,a_chorus_line,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0008,general,text,"Name the song title from this lyric excerpt: ""Ooh! Sigh! Give her your attention. / Do I really have to mention""",,,,,,One,,"""One"" is from A Chorus Line.",,,text,song_title,lyric_excerpt,a_chorus_line,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0009,general,text,"Name the song title from this lyric excerpt: ""Kiss today goodbye, / The sweetness and the sorrow.""",,,,,,What I Did for Love,,"""What I Did for Love"" is from A Chorus Line.",,,text,song_title,lyric_excerpt,a_chorus_line,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0010,general,text,"Name the song title from this lyric excerpt: ""Nothing with kings, nothing with crowns; / Bring on the lovers, liars and clowns!""",,,,,,Comedy Tonight,,"""Comedy Tonight"" is from A Funny Thing Happened on the Way to the Forum.",,,text,song_title,lyric_excerpt,a_funny_thing_happened_on_the_way_to_the_forum,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0011,general,text,"Name the song title from this lyric excerpt: ""Fluttering up the stairway, / Shuttering up the windows, / Cluttering up the bedroom, / Buttering up the master...""",,,,,,Everybody Ought To Have A Maid,,"""Everybody Ought To Have A Maid"" is from A Funny Thing Happened on the Way to the Forum.",,,text,song_title,lyric_excerpt,a_funny_thing_happened_on_the_way_to_the_forum,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0012,general,text,"Name the song title from this lyric excerpt: ""And the shooting should be pleasant / If the weather's not too rough. / Happy birthday, it's your present. / You haven't been getting out nearly enough.""",,,,,,A Weekend In The Country,,"""A Weekend In The Country"" is from A Little Night Music.",,,text,song_title,lyric_excerpt,a_little_night_music,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0013,general,text,"Name the song title from this lyric excerpt: ""At the villa of the Baron De Signac, / Where I spent a somewhat infamous year,""",,,,,,Liaisons,,"""Liaisons"" is from A Little Night Music.",,,text,song_title,lyric_excerpt,a_little_night_music,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0014,general,text,"Name the song title from this lyric excerpt: ""Let me get my hat and my knife!""",,,,,,You Must Meet My Wife,,"""You Must Meet My Wife"" is from A Little Night Music.",,,text,song_title,lyric_excerpt,a_little_night_music,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0015,general,text,"Name the song title from this lyric excerpt: ""Just when I'd stopped opening doors, / Finally knowing the one that I wanted was yours,""",,,,,,Send In The Clowns,,"""Send In The Clowns"" is from A Little Night Music.",,,text,song_title,lyric_excerpt,a_little_night_music,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0016,general,text,"Name the song title from this lyric excerpt: ""It's a very short road / From the pinch and the punch / To the paunch and the pouch / And the pension.""",,,,,,The Miller's Son,The Millers Son,"""The Miller's Son"" is from A Little Night Music.",,,text,song_title,lyric_excerpt,a_little_night_music,,
