"pack_id","pack_name","pack_round_type","pack_sort_order","question_id","question_round_type","answer_type","question_text","option_a","option_b","option_c","option_d","answer_index","answer_text","accepted_answers","explanation","audio_path","image_path","media_type","prompt_target","clue_source","primary_show_key","media_duration_ms","audio_clip_type"
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0096","general","text","Name the musical theatre song from these lyrics:

Another stellar conversation for the scrapbook
Another stumble as I'm reaching for the right thing to say","","","","","","Anybody Have a Map","","""Anybody Have a Map"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0097","general","text","Name the musical theatre song from these lyrics:

If you never get around to doing some remarkable thing
That doesn't mean that you're not worth remembering","","","","","","Disappear","","""Disappear"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0098","general","text","Name the musical theatre song from these lyrics:

There's nothing that we can't discuss
Like girls we wish would notice us but never do","","","","","","For Forever","","""For Forever"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0099","general","text","Name the musical theatre song from these lyrics:

One foot after the other
One branch then to another","","","","","","For Forever","","""For Forever"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0100","general","text","Name the musical theatre song from these lyrics:

So you found a place where the grass is greener
And you jumped the fence to the other side","","","","","","Good For You","","""Good For You"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0101","general","text","Name the musical theatre song from these lyrics:

But he kept it all inside his head
What he saw he left unsaid","","","","","","If I Could Tell Her","","""If I Could Tell Her"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0102","general","text","Name the musical theatre song from these lyrics:

But we're a million worlds apart
And I don't know how I would even start","","","","","","If I Could Tell Her","","""If I Could Tell Her"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0103","general","text","Name the musical theatre song from these lyrics:

I don't need you to sell me on reasons to want you
I don't need you to search for the proof that I should","","","","","","Only Us","","""Only Us"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0104","general","text","Name the musical theatre song from these lyrics:

Why should I play the grieving girl and
Lie saying that I miss you","","","","","","Requiem","","""Requiem"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0105","general","text","Name the musical theatre song from these lyrics:

I gave you the world, you threw it away,
leaving these broken pieces behind you","","","","","","Requiem","","""Requiem"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0106","general","text","Name the musical theatre song from these lyrics:

I should tell you that I think of you each night
I rub my nipples and start moaning with delight","","","","","","Sincerely, Me","Sincerely Me","""Sincerely, Me"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0107","general","text","Name the musical theatre song from these lyrics:

'Cause all that it takes is a little reinvention
It's easy to change if you give it your attention","","","","","","Sincerely, Me","Sincerely Me","""Sincerely, Me"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0108","general","text","Name the musical theatre song from these lyrics:

That night I tucked you into bed
I will never forget how you sat up and said
""Is there another truck coming to our driveway
A truck that will take mommy away?""","","","","","","So Big/So Small","So BigSo Small|So Big So Small","""So Big/So Small"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0109","general","text","Name the musical theatre song from these lyrics:

When you're falling in a forest and there's nobody around
Do you ever really crash, or even make a sound","","","","","","Waving Through a Window","","""Waving Through a Window"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0110","general","text","Name the musical theatre song from these lyrics:

I've learned to slam on the brake
Before I even turn the key","","","","","","Waving Through a Window","","""Waving Through a Window"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0111","general","text","Name the musical theatre song from these lyrics:

No, I'd rather pretend I'm something better than
These broken parts
Pretend I'm something other than this mess that I am","","","","","","Words Fail","","""Words Fail"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
"waxing_lyrical_text","Waxing Lyrical (Text)","general","0","WaxingT-0112","general","text","Name the musical theatre song from these lyrics:

Have you ever felt like nobody was there?
Have you ever felt forgotten in the middle of nowhere?","","","","","","You Will Be Found","","""You Will Be Found"" is from Dear Evan Hansen.","","","text","song_title","lyric_excerpt","dear_evan_hansen","",""
