pack_id,pack_name,pack_round_type,pack_sort_order,question_id,question_round_type,answer_type,question_text,option_a,option_b,option_c,option_d,answer_index,answer_text,accepted_answers,explanation,audio_path,image_path,media_type,prompt_target,clue_source,primary_show_key,media_duration_ms,audio_clip_type
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0220,general,text,"Name the musical theatre song from these lyrics:

Look at my ass, look at my thighs
I'm catnip to the guys
They chase my tail, they drool and pant
Wanna touch this, but they can't",,,,,,Bend and Snap,,"""Bend and Snap"" is from Legally Blonde.",,,text,song_title,lyric_excerpt,legally_blonde,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0221,general,text,"Name the musical theatre song from these lyrics:

Ignore that, it's simplistic and it's dumb
Only some of you will turn out sharks, just some
The rest are chum",,,,,,Blood in the Water,,"""Blood in the Water"" is from Legally Blonde.",,,text,song_title,lyric_excerpt,legally_blonde,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0222,general,text,"Name the musical theatre song from these lyrics:

I got through law school by busting my ass
Worked two jobs in addition to class
So forgive me for not weeping at your tale",,,,,,Chip On My Shoulder,,"""Chip On My Shoulder"" is from Legally Blonde.",,,text,song_title,lyric_excerpt,legally_blonde,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0223,general,text,"Name the musical theatre song from these lyrics:

Some girls fight hard
Some face the trial
Some girls were just meant to smile",,,,,,Legally Blonde,,"""Legally Blonde"" is from Legally Blonde.",,,text,song_title,lyric_excerpt,legally_blonde,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0224,general,text,"Name the musical theatre song from these lyrics:

Light candles in single file
Don't forget to smile
Lose the gum Kate, you look like a maid",,,,,,Omigod You Guys,,"""Omigod You Guys"" is from Legally Blonde.",,,text,song_title,lyric_excerpt,legally_blonde,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0225,general,text,"Name the musical theatre song from these lyrics:

And I have turned my whole world
upside down, trying not to let you go",,,,,,So Much Better,,"""So Much Better"" is from Legally Blonde.",,,text,song_title,lyric_excerpt,legally_blonde,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0226,general,text,"Name the musical theatre song from these lyrics:

Maybe she's what you prefer
But hey last year I was her",,,,,,So Much Better,,"""So Much Better"" is from Legally Blonde.",,,text,song_title,lyric_excerpt,legally_blonde,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0227,general,text,"Name the musical theatre song from these lyrics:

You can also use the patented handle grip
To shatter your attacker's spine
And all for three small payments of
Nineteen ninety-nine!",,,,,,Whipped Into Shape,,"""Whipped Into Shape"" is from Legally Blonde.",,,text,song_title,lyric_excerpt,legally_blonde,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0228,general,text,"Name the musical theatre song from these lyrics:

He was never mine to lose
Why regret what cannot be?
These are words he'll never say
Not to me",,,,,,A Heart Full of Love,,"""A Heart Full of Love"" is from Les Misérables.",,,text,song_title,lyric_excerpt,les_miserables,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0229,general,text,"Name the musical theatre song from these lyrics:

It's a struggle, it's a war
And there's nothing that anyone's giving",,,,,,At The End Of The Day,,"""At The End Of The Day"" is from Les Misérables.",,,text,song_title,lyric_excerpt,les_miserables,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0230,general,text,"Name the musical theatre song from these lyrics:

I might have known the bitch could bite
I might have known the cat had claws
I might have guessed your little secret",,,,,,At The End Of The Day,,"""At The End Of The Day"" is from Les Misérables.",,,text,song_title,lyric_excerpt,les_miserables,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0231,general,text,"Name the musical theatre song from these lyrics:

He's like the son I might have known
If God had granted me a son.",,,,,,Bring Him Home,,"""Bring Him Home"" is from Les Misérables.",,,text,song_title,lyric_excerpt,les_miserables,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0232,general,text,"Name the musical theatre song from these lyrics:

I know a place where no one's lost,
I know a place where no one cries",,,,,,Castle On A Cloud,,"""Castle On A Cloud"" is from Les Misérables.",,,text,song_title,lyric_excerpt,les_miserables,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0233,general,text,"Name the musical theatre song from these lyrics:

When the beating of your heart
Echoes the beating of the drums",,,,,,Do You Hear The People Sing,,"""Do You Hear The People Sing"" is from Les Misérables.",,,text,song_title,lyric_excerpt,les_miserables,,
waxing_lyrical_text,Waxing Lyrical (Text),general,0,WaxingT-0234,general,text,"Name the musical theatre song from these lyrics:

Beyond the barricade
Is there a world you long to see?",,,,,,Do You Hear The People Sing,,"""Do You Hear The People Sing"" is from Les Misérables.",,,text,song_title,lyric_excerpt,les_miserables,,
